,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist,genre
589,0.203,0.0851,3.0,-22.127,0.0,0.049,0.989,0.925,0.113,0.0395,88.582,6MgSw0gPRiCeYid2y2BgWS,317831.0,4.0,"Morceaux de Fantaisie, Op.3: No.1 El¨¦gie",Sergei Rachmaninoff,classical
590,0.438,0.0825,9.0,-21.686,0.0,0.0695,0.983,0.0749,0.0461,0.37,106.275,1seJCRhM5PqQ5xGebh0iQ0,270000.0,5.0,"24 Caprices For Violin, Op.1, MS. 25: No. 24 In A Minor",Niccol¨° Paganini,classical
591,0.33,0.00922,10.0,-30.88,1.0,0.0412,0.993,0.953,0.102,0.0715,133.121,1GCpKbwGqAwleD1GK31zT0,242587.0,3.0,"Nocturne No.2 In E Flat, Op.9 No.2",Fr¨¦d¨¦ric Chopin,classical
592,0.262,0.154,2.0,-18.786,1.0,0.036,0.927,0.795,0.194,0.121,107.159,1nPHuiD55BwCjJeUBxDsHd,384200.0,4.0,"The Nutcracker, Op.71, TH.14 / Act 2: No. 13 Waltz of the Flowers",Pyotr Ilyich Tchaikovsky,classical
593,0.279,0.00461,2.0,-36.886,0.0,0.0439,0.989,0.982,0.0638,0.039,69.813,41g83Usxjh9TRoxNGGqTTU,181547.0,5.0,"Orfeo ed Euridice, Wq. 30 - Arranged Sgambati / Act 2: Melodie dell'Orfeo",Christoph Willibald Gluck,classical
594,0.175,0.0385,6.0,-27.916,0.0,0.0385,0.931,0.919,0.116,0.0761,81.177,687dYpD7d1LTkxSA4H1Qzd,314893.0,4.0,"Pavane, Op.50",Gabriel Faur¨¦,classical
595,0.588,0.237,4.0,-18.257,0.0,0.0373,0.94,0.941,0.334,0.54,78.723,0T5p4InF1JeJBYHVU5xvJz,133600.0,4.0,"The Nutcracker, Op.71, TH.14 / Act 1: No. 2 March",Pyotr Ilyich Tchaikovsky,classical
596,0.221,0.0612,0.0,-21.344,1.0,0.0392,0.97,0.491,0.0661,0.0692,104.181,67XXdBK80hV7APXgWwb3jg,329653.0,3.0,"Preghiera (Arr. By Fritz Kreisler From Piano Concerto No. 2 In C Minor, Op. 18, 2nd Movement)",Sergei Rachmaninoff,classical
597,0.371,0.00593,1.0,-32.075,1.0,0.0469,0.993,0.911,0.0699,0.0384,135.297,670kHoKB4WnZCVSJz4ymNx,330840.0,3.0,"Suite bergamasque, L. 75: 3. Clair de lune",Claude Debussy,classical
598,0.124,0.0802,2.0,-25.99,1.0,0.045,0.923,0.932,0.16,0.0577,96.644,7rIWt3zlh2ntF1XDzj3wee,365000.0,4.0,"Suite No.3 In D, BWV 1068: 2. Air",Johann Sebastian Bach,classical
599,0.0786,0.227,4.0,-16.041,0.0,0.041,0.919,0.924,0.138,0.056,69.884,2XRnbXXt4vdrPdI3QL8Lym,185440.0,4.0,"Swan Lake (Suite), Op.20a, TH 219: 1. Scene - Swan Theme",Pyotr Ilyich Tchaikovsky,classical
600,0.0746,0.0327,0.0,-27.191,0.0,0.0412,0.959,0.886,0.087,0.0504,75.083,7lY6qt63y0Ag5lpHMVglLo,403333.0,3.0,"Symphony No.3 in F, Op.90: 3. Poco allegretto",Johannes Brahms,classical
601,0.294,0.305,0.0,-15.623,0.0,0.0386,0.955,0.912,0.0989,0.187,96.574,4v3o4IJt1VRDNiM2LCoOXV,442000.0,4.0,"Symphony No.5 In C Minor, Op.67: 1. Allegro con brio",Ludwig van Beethoven,classical
602,0.42,0.0876,3.0,-28.052,1.0,0.0425,0.995,0.9,0.102,0.278,82.496,5xVcnhVL0AwcOgbpuxTu6W,266213.0,4.0,"Widerstehe doch der S¨¹nde, BWV 54 (Transcr. by V¨ªkingur ¨®lafsson)",Johann Sebastian Bach,classical
603,0.115,0.0422,8.0,-24.137,1.0,0.0404,0.966,0.919,0.0896,0.037,87.855,4QfYHdV8hMoyS9qKUct98q,455467.0,3.0,"El¨¦gie in C Minor, Op. 24 (Arr. Parkin)",Gabriel Faur¨¦,classical
604,0.393,0.0152,4.0,-30.793,0.0,0.0437,0.995,0.906,0.075,0.164,75.084,1hX3yoGAJypm6dMMWLoyKo,161293.0,4.0,"Goldberg Variations, BWV 988: Aria - Edit",Johann Sebastian Bach,classical
605,0.148,0.0294,5.0,-27.567,1.0,0.0345,0.978,0.952,0.0963,0.102,182.325,5sztos7ZCFp6Qmk8WvEMZH,435667.0,3.0,"Piano Concerto No.21 In C Major, K.467: 2. Andante",Wolfgang Amadeus Mozart,classical
606,0.425,0.00472,7.0,-37.89,1.0,0.0479,0.996,0.953,0.0985,0.484,81.93,4nd6FMCfNFWkbi2dnsf5I3,190560.0,3.0,3 Gymnop¨¦dies: No. 1 in D Major: Lent et douloureux,Erik Satie,classical
607,0.172,0.0108,7.0,-27.061,1.0,0.0399,0.897,0.927,0.257,0.0988,114.762,6SAZljHhCrFcqtVe1AQ0ED,368000.0,3.0,"Valse triste, Op.44",Jean Sibelius,classical
608,0.263,0.202,1.0,-17.687,1.0,0.0408,0.984,0.905,0.089,0.12,71.462,6yjpji2Jlie9S2zBm2GZwE,545747.0,4.0,"Piano Concerto No.2 In F Minor, Op.21: 3. Allegro vivace",Fr¨¦d¨¦ric Chopin,classical
609,0.0869,0.0587,3.0,-22.846,1.0,0.0397,0.929,0.762,0.113,0.0372,86.027,3NrOSg735np3PW8OEvt5F8,225133.0,4.0,"Variations on an Original Theme, Op.36 ""Enigma"": 9. Nimrod (Adagio)",Edward Elgar,classical
610,0.07,0.0724,4.0,-25.949,0.0,0.0404,0.946,0.896,0.286,0.0369,75.52,5CBzaWVsJgl4DD1oNInz9b,327600.0,4.0,"Vocalise, Op.34, No.14",Sergei Rachmaninoff,classical
